起点,起点经度,起点纬度,终点,终点经度,终点纬度,配送类型,优先级,重量kg,时限分钟,巡航高度,数据模式
老街,,,深圳人才公园,,,医疗物资,紧急,2.0,30,100,深圳
深圳北站,,,深圳湾公园,,,文件,高,0.8,40,80,深圳
世界之窗,,,欢乐港湾,,,普通包裹,普通,1.5,55,80,深圳
甘坑古镇,,,深圳市民中心广场,,,应急物资,高,2.5,45,100,深圳
前海石公园,,,凤凰山森林公园,,,冷链物资,高,3.0,50,80,深圳
宝安公园,,,仙湖植物园,,,普通包裹,普通,1.2,65,80,深圳
光明虹桥公园,,,深圳欢乐谷,,,医疗物资,紧急,1.8,40,100,深圳
龙华文化广场,,,观澜山水田园旅游文化园,,,文件,普通,0.6,60,80,深圳
甘坑古镇,,,大芬油画村,,,普通包裹,高,2.2,50,80,深圳
仙湖植物园,,,京基100大厦,,,应急物资,紧急,2.8,45,120,深圳
大梅沙海滨公园,,,盐田中央公园,,,冷链物资,高,3.5,35,80,深圳
小梅沙海滨公园,,,东部华侨城,,,医疗物资,高,1.5,40,100,深圳
龙城广场,,,大运公园,,,文件,普通,0.9,45,80,深圳
坪山中心公园,,,马峦山郊野公园,,,应急物资,高,2.6,50,100,深圳
深圳国际会展中心,,,凤凰山森林公园,,,普通包裹,普通,1.7,75,120,深圳
深圳博物馆,,,福田口岸,,,文件,高,0.5,30,60,深圳
红树林海滨生态公园,,,OCT创意园,,,医疗物资,紧急,1.4,35,80,深圳
华侨城湿地公园,,,香蜜公园,,,冷链物资,普通,2.4,55,80,深圳
深圳儿童公园,,,海上世界文化艺术中心,,,普通包裹,普通,1.0,45,60,深圳
西丽体育公园,,,东湖公园,,,应急物资,高,2.0,40,80,深圳
